DBN,Year,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+4 %,Total Grads - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
01M015,2005,281,12.8,20.3,3.6,26.3,67.3,1.8,56.2,43.8,,,,,,,,
01M015,2006,243,15.6,22.6,7.4,28,63,1.6,57.6,42.4,27.8,31.6,36.1,4.4,40.5,,,
01M015,2007,261,19.9,23,6.1,29.5,60.2,2.7,54.8,45.2,13.2,33.1,45.5,8.3,53.7,,,
01M015,2008,252,19,24.6,6.3,29.8,59.1,2.8,59.1,40.9,7,28.1,57.9,7,64.9,,,
01M015,2009,208,19.2,22.1,7.7,32.2,56.7,2.9,59.6,40.4,5.4,29.7,55.9,9,64.9,,,
01M015,2010,203,14.8,22.7,6.4,36.9,54.2,2,55.7,44.3,21.1,47.8,26.7,4.4,31.1,,,
01M015,2011,189,10.6,21.2,6.3,33.3,57.7,2.1,51.3,48.7,22.2,43.2,32.1,2.5,34.6,,,
01M019,2005,402,9.2,23.1,10,25.6,51.5,9.7,53.2,46.8,,,,,,,,
01M019,2006,312,9.6,23.1,9.6,22.4,55.1,6.1,50.3,49.7,13,25.9,46.9,14.2,61.1,,,
01M019,2007,338,11.8,22.2,12.4,21.3,55,6.5,47.9,52.1,9.6,16.4,53.4,20.5,74,,,
01M019,2008,325,8.3,21.5,12,25.5,45.8,9.8,48,52,5.5,17.1,61.6,15.9,77.4,,,
01M019,2009,321,10.9,22.1,13.4,27.1,42.7,10.9,48,52,3,4.5,57.6,34.8,92.4,,,
01M019,2010,328,9.5,18.6,14.6,27.1,47.3,9.5,47.3,52.7,4.3,35.7,43.5,16.5,60,,,
01M019,2011,328,10.1,18,15.5,24.7,48.2,8.5,44.8,55.2,3.6,41.1,42.9,12.5,55.4,,,
01M020,2005,835,57.1,9.5,32.8,5.1,60.2,1.2,46.6,53.4,,,,,,,,
01M020,2006,655,37.4,12.1,29.8,5.5,63.2,1.5,48.1,51.9,5.2,16.6,58.7,19.6,78.2,,,
01M020,2007,610,29.8,13.8,24.8,7.5,65.1,2.1,48,52,3,15.1,62,20,82,,,
01M020,2008,593,21.4,17,23.6,9.3,63.4,1.5,48.2,51.8,2.6,8.8,71.8,16.8,88.6,,,
01M020,2009,594,25.1,16.7,25.8,9.9,59.8,2,53,47,2.3,5.3,70.3,22.1,92.4,,,
01M020,2010,625,23,16.8,28.2,8.2,59.8,2.7,53.3,46.7,7.6,34.1,38.6,19.7,58.3,,,
01M020,2011,626,20.4,15.5,30.4,8.8,57,2.6,52.7,47.3,7.4,33.7,42.2,16.7,58.9,,,
01M034,2005,438,6.2,24.7,5.7,20.1,71.5,1.4,50.9,49.1,,,,,,,,
01M034,2006,397,5.3,23.2,3.5,21.9,72.8,1.5,51.6,48.4,20.4,39.5,36.1,4,40.1,,,
01M034,2007,420,8.3,21.2,5,21,71.7,2.1,50,50,17.1,32,44.8,6,50.9,,,
01M034,2008,424,9,23.1,6.6,20.5,69.6,2.1,50.5,49.5,6.9,29,56.2,7.9,64.1,,,
01M034,2009,410,11,28,6.8,21,68.3,1.5,51.7,48.3,7.5,21,60,11.5,71.5,,,
01M034,2010,393,11.5,24.2,6.9,20.6,68.7,2.5,50.6,49.4,13,46.7,25.9,14.4,40.4,,,
01M034,2011,401,8.5,26.4,5.5,22.4,68.6,2,50.9,49.1,10.2,34.1,42.3,13.4,55.7,,,
01M056,2005,173,11,15.6,46.8,12.7,38.2,2.3,54.3,45.7,,,,,,,,
01M063,2005,240,2.9,19.6,14.6,16.7,63.8,5,55,45,,,,,,,,
01M063,2006,218,5,21.1,9.2,18.8,65.1,6.4,57.8,42.2,8.1,22.6,56.5,12.9,69.4,,,
01M063,2007,202,5,23.3,8.9,19.3,64.9,6.9,58.9,41.1,6.1,14.3,65.3,14.3,79.6,,,
01M063,2008,199,4,27.6,9.5,17.1,65.3,7,63.8,36.2,2.3,24.1,63.2,10.3,73.6,,,
01M063,2009,183,3.3,29.5,10.4,17.5,64.5,7.1,61.7,38.3,4.8,12.5,69.2,13.5,82.7,,,
01M063,2010,181,2.8,27.1,7.2,18.8,62.4,10.5,57.5,42.5,10.5,20.9,45.3,23.3,68.6,,,
01M063,2011,176,3.4,25.6,5.1,23.3,62.5,8.5,55.1,44.9,5.2,33.8,31.2,29.9,61,,,
01M064,2005,332,8.1,21.7,3.6,25,68.4,2.4,51.8,48.2,,,,,,,,
01M064,2006,282,7.4,20.9,5.3,26.6,66.7,1.4,51.4,48.6,13.7,29,51.9,5.5,57.4,,,
01M064,2007,295,5.8,23.1,4.1,23.7,69.8,1.7,50.5,49.5,2.3,21.2,68.2,8.3,76.5,,,
01M064,2008,300,5,24.3,5.7,24,66.7,1.7,54,46,0.8,11.5,75.4,12.3,87.7,,,
01M064,2009,292,4.5,30.1,5.8,22.9,65.8,3.1,52.1,47.9,0.8,7.3,75.6,16.3,91.9,,,
01M064,2010,322,6.5,30.4,6.8,24.5,62.1,4.3,55.6,44.4,7.1,46.5,36.2,10.2,46.5,,,
