DBN,Year,Total Grads - % of cohort,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - % of cohort,Local - % of grads,Still Enrolled - % of cohort,Dropped Out - % of cohort
01M292,2008,67.3,30.9,45.9,0,0,30.9,45.9,36.4,54.1,27.3,5.5
01M292,2009,67.2,42.2,62.8,0,0,42.2,62.8,25,37.2,14.1,14.1
01M292,2010,56.4,47.4,84.1,0,0,47.4,84.1,9,15.9,19.2,14.1
01M448,2005,71.9,50,69.6,10.9,15.2,39.1,54.3,21.9,30.4,15.6,9.4
01M448,2006,63.5,36.5,57.6,15.4,24.2,21.2,33.3,26.9,42.4,30.8,1.9
01M448,2007,77,44.8,58.2,12.6,16.4,32.2,41.8,32.2,41.8,10.3,12.6
01M448,2008,67,32.1,48,5.4,8,26.8,40,34.8,52,29.5,3.6
01M448,2009,52.9,28.9,54.7,3.3,6.3,25.6,48.4,24,45.3,33.9,9.1
01M448,2010,48.4,33.9,70,6.5,13.3,27.4,56.7,14.5,30,31.5,16.1
01M450,2005,67.2,65.6,97.6,0,0,65.6,97.6,1.6,2.4,11.5,19.7
01M450,2006,62.5,62.5,100,0,0,62.5,100,0,0,25,9.7
01M450,2007,62,55.7,89.8,0,0,55.7,89.8,6.3,10.2,25.3,12.7
01M450,2008,72.5,60,82.8,0,0,60,82.8,12.5,17.2,16.3,11.3
01M450,2009,71.8,68.2,95.1,0,0,68.2,95.1,3.5,4.9,12.9,10.6
01M450,2010,78.9,75.6,95.8,0,0,75.6,95.8,3.3,4.2,15.6,5.6
01M509,2005,49.3,8.7,17.6,0,0,8.7,17.6,40.6,82.4,27.5,14.5
01M509,2006,40,20,50,7.3,18.2,12.7,31.8,20,50,32.7,20
01M509,2007,44.3,31.4,71,0,0,31.4,71,12.9,29,28.6,25.7
01M509,2008,44.6,20,44.8,4.6,10.3,15.4,34.5,24.6,55.2,41.5,12.3
01M509,2009,55.7,43.2,77.6,20.5,36.7,22.7,40.8,12.5,22.4,22.7,15.9
01M509,2010,59.5,48.8,82,21.4,36,27.4,46,10.7,18,26.2,6
01M515,2005,53,21.7,40.9,0,0,21.7,40.9,31.9,60.2,27.1,18.1
01M515,2006,44.8,30.8,68.8,0,0,30.8,68.8,14,31.2,39,16.3
01M515,2007,42,34.6,82.6,23.4,55.8,11.2,26.7,7.3,17.4,39,19
01M515,2008,48.5,37,76.3,30,61.9,7,14.4,11.5,23.7,39,12.5
01M515,2009,45.5,36.4,80,29.2,64.3,7.1,15.7,9.1,20,41.6,13
01M515,2010,54.4,47.2,86.7,35.8,65.7,11.4,21,7.3,13.3,27.5,18.1
01M539,2007,100,98.3,98.3,84.5,84.5,13.8,13.8,1.7,1.7,0,0
01M539,2008,96.7,96.7,100,90,93.1,6.7,6.9,0,0,0,3.3
01M539,2009,95.9,95.9,100,77.6,80.9,18.4,19.1,0,0,4.1,0
01M539,2010,100,100,100,67.4,67.4,32.6,32.6,0,0,0,0
01M650,2005,31.4,2.3,7.4,0,0,2.3,7.4,29.1,92.6,54.7,12.8
01M650,2006,23.9,6.5,27.3,0,0,6.5,27.3,17.4,72.7,67.4,8.7
01M650,2007,29,7.5,25.9,0,0,7.5,25.9,21.5,74.1,66.7,4.3
01M650,2008,41.8,14.9,35.7,0,0,14.9,35.7,26.9,64.3,46.3,10.4
01M650,2009,32.6,17.9,54.8,0,0,17.9,54.8,14.7,45.2,56.8,7.4
01M650,2010,55.1,40.4,73.5,0,0,40.4,73.5,14.6,26.5,38.2,6.7
01M696,2005,94.1,92.4,98.2,0,0,92.4,98.2,1.7,1.8,4.2,1.7
01M696,2006,94.5,93.6,99,0,0,93.6,99,0.9,1,5.5,0
01M696,2007,97.6,97.6,100,0,0,97.6,100,0,0,1.6,0.8
01M696,2008,92.3,92.3,100,0,0,92.3,100,0,0,6.8,0.9
01M696,2009,93,93,100,0,0,93,100,0,0,6.1,0.9
01M696,2010,97.8,97.8,100,0,0,97.8,100,0,0,1.4,0.7
02M047,2009,37.5,16.7,44.4,0,0,16.7,44.4,20.8,55.6,37.5,12.5
02M047,2010,76,32,42.1,0,0,32,42.1,44,57.9,16,4
02M288,2008,66.3,62.5,94.3,0,0,62.5,94.3,3.8,5.7,13.8,20
02M288,2009,74.7,60.8,81.4,0,0,60.8,81.4,13.9,18.6,21.5,2.5
02M288,2010,90.2,76.5,84.8,0,0,76.5,84.8,13.7,15.2,3.9,2.9
02M294,2008,84.4,50,59.3,0,0,50,59.3,34.4,40.7,10.4,5.2
02M294,2009,77.1,75.7,98.1,0,0,75.7,98.1,1.4,1.9,21.4,0
02M294,2010,75.3,65.2,86.6,0,0,65.2,86.6,10.1,13.4,13.5,10.1
02M296,2008,72.8,48.1,66.1,0,0,48.1,66.1,24.7,33.9,18.5,8.6
02M296,2009,81.3,69.2,85.1,6.6,8.1,62.6,77,12.1,14.9,12.1,4.4
02M296,2010,80,69.3,86.7,1.3,1.7,68,85,10.7,13.3,12,6.7
02M298,2008,85.2,85.2,100,35.7,41.8,49.6,58.2,0,0,7,6.1
02M298,2009,83.7,78.6,93.9,13.3,15.9,65.3,78,5.1,6.1,13.3,2
02M298,2010,85.9,83.7,97.5,42.4,49.4,41.3,48.1,2.2,2.5,5.4,4.3
02M300,2008,68.7,63.9,93,2.4,3.5,61.4,89.5,4.8,7,25.3,6
02M300,2009,74.7,72.2,96.6,5.1,6.8,67.1,89.8,2.5,3.4,16.5,3.8
02M300,2010,71.3,60,84.2,0,0,60,84.2,11.3,15.8,20,8.8
02M303,2009,44.8,44.8,100,0,0,44.8,100,0,0,33.3,19
02M303,2010,59.2,59.2,100,0,0,59.2,100,0,0,18.3,19.7
02M305,2009,71.4,58.6,82,2.9,4,55.7,78,12.9,18,11.4,12.9
02M305,2010,75.4,65.6,87,0,0,65.6,87,9.8,13,4.9,16.4
02M308,2009,77.6,44.8,57.7,3,3.8,41.8,53.8,32.8,42.3,10.4,10.4
02M308,2010,70.6,50,70.8,1.5,2.1,48.5,68.8,20.6,29.2,19.1,8.8
02M313,2007,60,16,26.7,0,0,16,26.7,44,73.3,32,8
02M313,2008,29.5,15.9,53.8,0,0,15.9,53.8,13.6,46.2,56.8,9.1
02M313,2009,38.5,19.2,50,0,0,19.2,50,19.2,50,44.9,10.3
