DBN,Year,Number Tested,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+4 %
01M015,2006,158,27.8,31.6,36.1,4.4,40.5
01M015,2007,121,13.2,33.1,45.5,8.3,53.7
01M015,2008,114,7,28.1,57.9,7,64.9
01M015,2009,111,5.4,29.7,55.9,9,64.9
01M015,2010,90,21.1,47.8,26.7,4.4,31.1
01M015,2011,81,22.2,43.2,32.1,2.5,34.6
01M019,2006,239,13,25.9,46.9,14.2,61.1
01M019,2007,146,9.6,16.4,53.4,20.5,74
01M019,2008,164,5.5,17.1,61.6,15.9,77.4
01M019,2009,132,3,4.5,57.6,34.8,92.4
01M019,2010,115,4.3,35.7,43.5,16.5,60
01M019,2011,112,3.6,41.1,42.9,12.5,55.4
01M020,2006,445,5.2,16.6,58.7,19.6,78.2
01M020,2007,305,3,15.1,62,20,82
01M020,2008,273,2.6,8.8,71.8,16.8,88.6
01M020,2009,263,2.3,5.3,70.3,22.1,92.4
01M020,2010,264,7.6,34.1,38.6,19.7,58.3
01M020,2011,258,7.4,33.7,42.2,16.7,58.9
01M034,2006,299,20.4,39.5,36.1,4,40.1
01M034,2007,281,17.1,32,44.8,6,50.9
01M034,2008,290,6.9,29,56.2,7.9,64.1
01M034,2009,295,7.5,21,60,11.5,71.5
01M034,2010,270,13,46.7,25.9,14.4,40.4
01M034,2011,246,10.2,34.1,42.3,13.4,55.7
01M063,2006,124,8.1,22.6,56.5,12.9,69.4
01M063,2007,98,6.1,14.3,65.3,14.3,79.6
01M063,2008,87,2.3,24.1,63.2,10.3,73.6
01M063,2009,104,4.8,12.5,69.2,13.5,82.7
01M063,2010,86,10.5,20.9,45.3,23.3,68.6
01M063,2011,77,5.2,33.8,31.2,29.9,61
01M064,2006,183,13.7,29,51.9,5.5,57.4
01M064,2007,132,2.3,21.2,68.2,8.3,76.5
01M064,2008,122,0.8,11.5,75.4,12.3,87.7
01M064,2009,123,0.8,7.3,75.6,16.3,91.9
01M064,2010,127,7.1,46.5,36.2,10.2,46.5
01M064,2011,129,13.2,45.7,34.1,7,41.1
01M110,2006,376,4.8,18.9,53.5,22.9,76.3
01M110,2007,199,1.5,12.6,56.8,29.1,85.9
01M110,2008,208,1.4,11.5,58.2,28.8,87
01M110,2009,195,1.5,9.2,52.3,36.9,89.2
01M110,2010,215,7,23.7,31.2,38.1,69.3
01M110,2011,195,2.1,24.1,37.9,35.9,73.8
01M134,2006,193,11.4,29,50.3,9.3,59.6
01M134,2007,134,4.5,15.7,55.2,24.6,79.9
01M134,2008,152,2,12.5,65.1,20.4,85.5
01M134,2009,169,2.4,10.1,56.2,31.4,87.6
01M134,2010,169,7.1,39.6,32,21.3,53.3
01M134,2011,156,7.1,34.6,47.4,10.9,58.3
01M137,2006,214,18.7,34.1,36.9,10.3,47.2
01M137,2007,121,8.3,28.1,52.1,11.6,63.6
01M137,2008,96,4.2,19.8,71.9,4.2,76
01M137,2009,83,1.2,21.7,57.8,19.3,77.1
01M137,2010,77,7.8,48.1,31.2,13,44.2
01M137,2011,89,15.7,39.3,33.7,11.2,44.9
01M140,2006,361,20.8,42.9,33,3.3,36.3
01M140,2007,333,12.6,30,51.7,5.7,57.4
01M140,2008,294,7.8,23.5,57.5,11.2,68.7
01M140,2009,294,5.4,19.4,63.3,11.9,75.2
01M140,2010,276,12.7,43.5,35.1,8.7,43.8
01M140,2011,262,10.3,51.5,32.4,5.7,38.2
01M142,2006,276,13.8,31.2,50.7,4.3,55.1
01M142,2007,176,9.7,28.4,54.5,7.4,61.9
01M142,2008,187,5.9,19.8,64.7,9.6,74.3
01M142,2009,192,1.6,12,66.7,19.8,86.5
01M142,2010,184,7.1,44.6,42.9,5.4,48.4
01M142,2011,186,6.5,42.5,43.5,7.5,51.1
01M184,2006,253,0,1.2,27.7,71.1,98.8
01M184,2007,304,0,1.3,29.6,69.1,98.7
01M184,2008,319,0,0.3,19.1,80.6,99.7
01M184,2009,331,0,0,15.4,84.6,100
01M184,2010,345,0,2.3,25.5,72.2,97.7
01M184,2011,350,0,1.4,16.6,82,98.6
01M188,2006,300,23.3,47.7,26.7,2.3,29
01M188,2007,271,9.2,31.4,52.8,6.6,59.4
01M188,2008,260,6.5,21.9,62.7,8.8,71.5
01M188,2009,250,1.2,21.2,66,11.6,77.6
01M188,2010,258,17.1,54.7,22.1,6.2,28.3
01M188,2011,249,12.9,41,32.9,13.3,46.2
01M292,2006,146,23.3,47.9,26.7,2.1,28.8
01M292,2007,189,12.2,47.6,35.4,4.8,40.2
01M292,2008,175,8,37.1,49.7,5.1,54.9
01M292,2009,148,7.4,27,60.8,4.7,65.5
01M292,2010,162,24.7,54.9,17.3,3.1,20.4
01M292,2011,116,27.6,50,15.5,6.9,22.4
01M301,2006,92,17.4,46.7,31.5,4.3,35.9
01M301,2007,187,13.9,46,38,2.1,40.1
01M301,2008,186,9.7,40.3,43.5,6.5,50
01M301,2009,212,4.7,29.2,60.8,5.2,66
01M301,2010,200,23,46.5,25.5,5,30.5
01M301,2011,165,15.2,49.1,29.7,6.1,35.8
01M315,2006,88,14.8,36.4,44.3,4.5,48.9
01M315,2007,65,6.2,24.6,63.1,6.2,69.2
01M315,2008,65,0,24.6,58.5,16.9,75.4
01M315,2009,48,2.1,6.3,77.1,14.6,91.7
01M315,2010,51,7.8,23.5,49,19.6,68.6
01M315,2011,59,1.7,22,45.8,30.5,76.3
01M332,2006,159,23.3,50.3,24.5,1.9,26.4
01M332,2007,243,23.9,45.7,27.2,3.3,30.5
01M332,2008,270,14.1,35.2,43,7.8,50.7
01M332,2009,228,4.4,32.5,55.7,7.5,63.2
01M332,2010,159,31.4,44,18.9,5.7,24.5
01M332,2011,103,22.3,55.3,22.3,0,22.3
01M345,2007,266,5.6,21.1,55.3,18,73.3
01M345,2008,265,1.9,18.5,62.3,17.4,79.6
01M345,2009,273,4,16.5,64.1,15.4,79.5
01M345,2010,235,10.2,42.6,34,13.2,47.2
01M345,2011,238,14.7,37.4,36.1,11.8,47.9
01M361,2006,144,11.8,19.4,55.6,13.2,68.8
01M361,2007,101,11.9,15.8,59.4,12.9,72.3
01M361,2008,94,7.4,7.4,55.3,29.8,85.1
01M361,2009,97,5.2,11.3,59.8,23.7,83.5
01M361,2010,88,13.6,31.8,29.5,25,54.5
01M361,2011,84,11.9,32.1,38.1,17.9,56
01M363,2006,141,7.1,24.8,55.3,12.8,68.1
01M363,2007,105,4.8,17.1,61.9,16.2,78.1
01M363,2008,118,7.6,13.6,61.9,16.9,78.8
01M363,2009,128,6.3,7,69.5,17.2,86.7
01M363,2010,130,4.6,39.2,40,16.2,56.2
01M363,2011,134,1.5,32.8,47.8,17.9,65.7
01M364,2006,121,7.4,24,57,11.6,68.6
01M364,2007,119,5.9,16.8,64.7,12.6,77.3
01M364,2008,133,2.3,14.3,57.9,25.6,83.5
01M364,2009,138,2.2,9.4,66.7,21.7,88.4
01M364,2010,143,7.7,39.9,33.6,18.9,52.4
01M364,2011,136,5.9,30.1,43.4,20.6,64
01M378,2009,66,9.1,24.2,59.1,7.6,66.7
01M378,2010,143,7,37.8,34.3,21,55.2
01M378,2011,223,4,35.4,38.6,22,60.5
01M450,2006,180,11.1,54.4,33.9,0.6,34.4
01M450,2007,199,10.6,44.7,41.7,3,44.7
01M450,2008,204,3.9,27.5,61.8,6.9,68.6
01M450,2009,181,1.1,10.5,72.9,15.5,88.4
01M450,2010,187,3.2,36.4,38.5,21.9,60.4
01M450,2011,180,5.6,28.9,43.3,22.2,65.6
01M539,2006,330,0,0,29.7,70.3,100
01M539,2007,391,0,0.5,26.1,73.4,99.5
01M539,2008,426,0,0.2,17.8,81.9,99.8
01M539,2009,533,0,0.4,13.1,86.5,99.6
01M539,2010,626,0.2,2.1,16.3,81.5,97.8
01M539,2011,676,0,1.3,14.6,84,98.7
01M839,2006,217,7.8,31.3,54.8,6,60.8
01M839,2007,320,3.4,16.6,61.3,18.8,80
01M839,2008,341,1.5,9.1,56,33.4,89.4
01M839,2009,349,2.9,8,54.7,34.4,89.1
01M839,2010,353,3.7,21.5,42.2,32.6,74.8
01M839,2011,356,3.9,25.8,40.4,29.8,70.2
02M001,2006,290,6.9,11.4,47.2,34.5,81.7
02M001,2007,273,2.6,7.3,47.6,42.5,90.1
02M001,2008,230,3,4.3,45.2,47.4,92.6
02M001,2009,244,2.9,3.7,39.3,54.1,93.4
02M001,2010,230,5.2,16.1,40.9,37.8,78.7
02M001,2011,226,4.9,19.9,36.7,38.5,75.2
02M002,2006,347,5.2,10.4,46.7,37.8,84.4
02M002,2007,321,3.7,3.4,53.6,39.3,92.8
02M002,2008,327,2.4,4,45.3,48.3,93.6
02M002,2009,362,0.8,5.2,41.7,52.2,93.9
02M002,2010,391,3.3,14.6,37.1,45,82.1
02M002,2011,410,2.7,12.9,38.5,45.9,84.4
02M003,2006,259,3.5,12,52.1,32.4,84.6
02M003,2007,213,0.9,6.1,53.5,39.4,93
02M003,2008,225,0.4,5.8,46.7,47.1,93.8
02M003,2009,259,0.4,3.5,46.3,49.8,96.1
02M003,2010,250,2.8,16.4,46.8,34,80.8
02M003,2011,282,2.5,11.7,56.7,29.1,85.8
02M006,2006,426,3.5,4.2,44.1,48.1,92.3
02M006,2007,405,1,4.9,37.3,56.8,94.1
02M006,2008,381,0.5,3.4,42,54.1,96.1
02M006,2009,374,0.3,3.2,42.5,54,96.5
02M006,2010,339,0.6,9.1,35.7,54.6,90.3
02M006,2011,366,0.5,6,36.1,57.4,93.4
02M011,2006,243,7.8,14.8,55.1,22.2,77.4
02M011,2007,222,5.9,14,54.5,25.7,80.2
02M011,2008,211,4.7,9.5,60.2,25.6,85.8
02M011,2009,211,0.9,5.2,51.7,42.2,93.8
02M011,2010,228,2.2,11.4,32.5,53.9,86.4
02M011,2011,256,2.3,14.5,41.4,41.8,83.2
02M033,2006,126,4,15.1,56.3,24.6,81
02M033,2007,119,5,12.6,55.5,26.9,82.4
02M033,2008,139,0.7,2.9,63.3,33.1,96.4
02M033,2009,143,0,2.1,44.1,53.8,97.9
02M033,2010,129,0,20.2,51.9,27.9,79.8
02M033,2011,138,0.7,26.8,49.3,23.2,72.5
02M040,2006,241,1.7,6.6,60.2,31.5,91.7
02M040,2007,235,2.1,3.8,48.1,46,94
02M040,2008,237,0,2.5,48.9,48.5,97.5
02M040,2009,234,0,0.9,47.9,51.3,99.1
02M040,2010,240,0,12.5,33.3,54.2,87.5
02M040,2011,247,1.6,10.1,44.1,44.1,88.3
02M041,2006,310,1.6,4.2,54.5,39.7,94.2
02M041,2007,309,0.3,5.5,54.4,39.8,94.2
02M041,2008,311,0.6,3.2,49.8,46.3,96.1
02M041,2009,321,0,1.9,45.5,52.6,98.1
02M041,2010,338,0.9,10.4,38.5,50.3,88.8
02M041,2011,333,0.9,11.1,38.4,49.5,88
02M042,2006,312,2.2,5.1,47.4,45.2,92.6
02M042,2007,296,1,6.8,41.6,50.7,92.2
02M042,2008,311,0.3,0.6,39.2,59.8,99
02M042,2009,341,0,0.6,39.3,60.1,99.4
02M042,2010,373,1.9,10.2,33.8,54.2,87.9
02M042,2011,363,0.6,10.5,41.6,47.4,89
02M051,2006,129,0.8,16.3,62.8,20.2,82.9
02M051,2007,132,1.5,9.1,63.6,25.8,89.4
02M051,2008,120,0.8,3.3,62.5,33.3,95.8
02M051,2009,119,0,2.5,62.2,35.3,97.5
02M051,2010,132,4.5,20.5,40.2,34.8,75
02M051,2011,156,2.6,27.6,43.6,26.3,69.9
02M059,2006,163,0.6,6.1,59.5,33.7,93.3
02M059,2007,172,0.6,4.1,44.8,50.6,95.3
02M059,2008,182,0.5,6.6,51.6,41.2,92.9
02M059,2009,193,0,2.1,40.4,57.5,97.9
02M059,2010,204,1,14.2,38.2,46.6,84.8
02M059,2011,216,0.5,9.3,38,52.3,90.3
02M077,2006,173,5.8,0.6,21.4,72.3,93.6
02M077,2007,170,4.1,1.2,15.3,79.4,94.7
02M077,2008,175,4,1.7,9.1,85.1,94.3
02M077,2009,164,1.8,1.8,11.6,84.8,96.3
02M077,2010,169,2.4,3,14.2,80.5,94.7
02M077,2011,175,2.9,3.4,13.1,80.6,93.7
02M089,2006,182,4.9,8.2,47.8,39,86.8
02M089,2007,191,1.6,7.3,43.5,47.6,91.1
02M089,2008,196,1,4.6,46.4,48,94.4
02M089,2009,199,0,2,36.7,61.3,98
02M089,2010,220,0.5,11.4,40.5,47.7,88.2
02M089,2011,244,0.4,9.4,44.3,45.9,90.2
02M104,2006,1138,8.3,20.6,49.2,22,71.2
02M104,2007,1003,6.6,23.5,46.9,23,69.9
02M104,2008,974,3.2,18.1,52.1,26.7,78.7
02M104,2009,925,1.3,12.3,53.1,33.3,86.4
02M104,2010,941,4.6,25.2,35.8,34.4,70.2
02M104,2011,948,3.1,19.8,34.8,42.3,77.1
02M111,2006,373,11.3,35.9,48.3,4.6,52.8
02M111,2007,333,8.4,31.8,50.8,9,59.8
02M111,2008,326,4.9,21.5,63.2,10.4,73.6
02M111,2009,351,4.6,11.4,70.1,14,84
02M111,2010,357,8.7,42,34.5,14.8,49.3
02M111,2011,395,11.6,43.5,34.2,10.6,44.8
02M114,2006,344,1.7,11.3,53.8,33.1,86.9
02M114,2007,347,0.9,4.3,47.6,47.3,94.8
02M114,2008,355,0,0.8,40.6,58.6,99.2
02M114,2009,368,0,0.5,31.8,67.7,99.5
02M114,2010,377,0,0.8,20.2,79,99.2
02M114,2011,422,0,2.1,20.1,77.7,97.9
02M116,2006,366,2.7,7.7,43.4,46.2,89.6
02M116,2007,334,1.5,2.4,37.4,58.7,96.1
02M116,2008,343,0.3,5,37.9,56.9,94.8
02M116,2009,343,0.3,1.2,43.1,55.4,98.5
02M116,2010,354,0.8,12.7,34.7,51.7,86.4
02M116,2011,372,1.6,10.8,43.8,43.8,87.6
02M124,2006,463,0.2,3,38.9,57.9,96.8
02M124,2007,462,0,2.6,38.7,58.7,97.4
02M124,2008,480,0.4,1.3,40.2,58.1,98.3
02M124,2009,466,0,0.9,32.2,67,99.1
02M124,2010,450,1.1,6.7,36.2,56,92.2
02M124,2011,428,0.5,7,38.6,54,92.5
02M126,2006,459,5.4,24.6,54.9,15,69.9
02M126,2007,443,4.3,22.8,47.2,25.7,72.9
02M126,2008,455,3.5,14.1,42.9,39.6,82.4
02M126,2009,487,0.8,4.5,47.8,46.8,94.7
02M126,2010,502,2.8,16.3,32.1,48.8,80.9
02M126,2011,505,2.4,13.9,33.1,50.7,83.8
02M130,2006,523,1.9,5.9,43.4,48.8,92.2
02M130,2007,533,1.1,2.3,41.7,55,96.6
02M130,2008,494,0.2,1.4,40.3,58.1,98.4
02M130,2009,512,0,0.8,31.1,68.2,99.2
02M130,2010,511,1.2,7.2,34.8,56.8,91.6
02M130,2011,502,1.8,8.4,33.1,56.8,89.8
02M131,2006,870,8,22.2,53.8,16,69.8
02M131,2007,821,5,22.9,54.4,17.7,72.1
02M131,2008,763,2.9,15.6,58.1,23.5,81.5
02M131,2009,721,0.8,11.5,59.8,27.9,87.7
02M131,2010,796,3.9,28.5,40.5,27.1,67.6
02M131,2011,662,6.6,26.3,38.1,29,67.1
02M150,2006,73,0,4.1,45.2,50.7,95.9
02M150,2007,73,0,2.7,58.9,38.4,97.3
